論文名稱(中文),畢業學年度,學位類別,作者,博碩士論文網址
臺灣聽力損失疾病負擔及人工電子耳預算衝擊分析,113,碩士,沈柏綸,https://hdl.handle.net/11296/tg3g4k
利用雙相解調變器測量固態有機發光電化學元件通電時動態熱擴散變化,113,碩士,薛聖翰,https://hdl.handle.net/11296/k993kt
基於三週期最小曲面的彈性下顎彌補物：開發和評估,113,碩士,董寧,https://hdl.handle.net/11296/3388rp
次世代細胞品質監控平台,113,碩士,柯宜芬,https://hdl.handle.net/11296/2y9cmf
電化學與化學法製備六氯銥酸離子,113,碩士,陳婕瑄,https://hdl.handle.net/11296/n7876s
電泳法相分離廢棄鋰電池的黑色粉末,113,碩士,馬悅慈,https://hdl.handle.net/11296/2vsg6w
幾丁聚醣與貴金屬離子(Au3+、Ag+、Pt2+、Pt4+、Pd2+、Ru3+)的水膠崩塌現象探討,113,碩士,卓襄夷,https://hdl.handle.net/11296/e7qrep
新穎二硫化鉬摻雜碲化鉍銻奈米結構薄膜之熱電性質探討,113,碩士,張紘碩,https://hdl.handle.net/11296/6g239j
重新設想後2019香港及其文化身分認同：論流行音樂作為生產動態在地性的論述與情感空間,113,碩士,盧俊溢,https://hdl.handle.net/11296/rahha8
利用超表面實現超寬頻天線之增益平穩化,113,碩士,陳健銘,https://hdl.handle.net/11296/5t5z8w
如何成為完整的人？ 移工的自我賦權——以湖口泰友教會為例,113,碩士,郭凡瑀,https://hdl.handle.net/11296/fy3u7a
以變形語義關鍵點軌跡學習日常物品之掛置任務,113,碩士,郭家良,https://hdl.handle.net/11296/rxhf2t
方向非對稱性的雅努斯超穎介面渦旋光與全像片,113,碩士,林承億,https://hdl.handle.net/11296/m9z6sm
拓樸優化實現自由形式矩陣傅立葉光學,113,碩士,吳昀倩,https://hdl.handle.net/11296/zgdkqw
碳化矽粉體合成方式及分子束磊晶於不同碳化矽基板成長二維材料之評估,113,碩士,楊絜羽,https://hdl.handle.net/11296/h9z84m
AI羽球教練: 全新訓練典範,113,碩士,鍾維廷,https://hdl.handle.net/11296/5w29vz
利用間質隔離法研究異喹啉鹽陽離子和異喹啉鹽基在 p-H2 間質中的電子光譜,113,碩士,陳君愷,https://hdl.handle.net/11296/eh7p55
論對稱函數的複合複雜性,113,碩士,蔡昀哲,https://hdl.handle.net/11296/8wj243
直接生長氮摻雜之垂直石墨烯奈米片應用於超級電容器之研究,113,碩士,賴瑜雅,https://hdl.handle.net/11296/av2v5p
護理人員不穩定僱用關係與工作滿意度之相關性：系統性文獻回顧與統合分析,113,博士,謝靜美,https://hdl.handle.net/11296/hkaew6
實現於高壓BCD製程之13.56-MHz無線功率和雙向數據傳輸電路以供生醫應用,113,碩士,吳柏震,https://hdl.handle.net/11296/v6fykv
基於轉矩估測和迭代學習控制之直流無刷馬達轉矩漣波抑制,113,碩士,李驊育,https://hdl.handle.net/11296/f5578w
唱咱ê歌：從記憶構築探討2010年代中期起 新世代樂團台語歌曲創作實踐,113,碩士,林靖軒,https://hdl.handle.net/11296/s844x9
於智能網卡設計與實作封包切割與重組機制,113,碩士,龔俊綱,https://hdl.handle.net/11296/4a24y4
多重離子佈植摻雜磷於單晶鑽石及覆蓋SiO2擴散阻障層對後續退火鑽石性質影響之研究,113,碩士,官梵鈴,https://hdl.handle.net/11296/5t5h2q
利用機器學習進行蛋白質的S-谷胱甘肽化位點之預測,113,碩士,曾丞麟,https://hdl.handle.net/11296/q3gaad
積分型時間縮放迭代學習控制器應用於機械手臂軌跡追蹤,113,碩士,蕭瀚宇,https://hdl.handle.net/11296/2r4e54
選擇性雷射燒熔之先進層對層及件對件迭代學習控制,113,碩士,王淘然,https://hdl.handle.net/11296/sz679w
以半經驗法熱模型為基礎之選擇性雷射燒熔製程控制對表面精度改良,113,碩士,蔡承傑,https://hdl.handle.net/11296/5ztv8d
評估反鐵電/鐵電隨機存取記憶體考量低溫操作,113,碩士,陳奕銓,https://hdl.handle.net/11296/ubz3zv
透過雙編碼器聚合之自動圖像去背,113,碩士,余孟倫,https://hdl.handle.net/11296/cbfq7x
研究結合組蛋白去乙醯酶抑制劑和敲除KDM4A在治療KSHV相關原發性滲出淋巴瘤的潛力,113,碩士,鄭裕弘,https://hdl.handle.net/11296/h726k7
具有92.6%效率的混合降壓轉換器，採用交替並聯運作來實現飛電容的電荷平衡和快速瞬態響應,113,碩士,杜銘哲,https://hdl.handle.net/11296/nr2pxy
針對無內建浮點數運算器的低成本邊緣裝置優化之純定點數量化框架,113,碩士,胡庭偉,https://hdl.handle.net/11296/zyp9fh
數位時代的網路監管難題 ——以線上年齡驗證法為中心,113,碩士,廖敏華,https://hdl.handle.net/11296/86aa2v
從社群媒體到購物車：以社會比較理論探討影響線上衝動購衣行為的多重因素,113,碩士,林華恩,https://hdl.handle.net/11296/sw9ed3
光線追跡與光線轉換矩陣下的結構雷射光束,113,博士,鄭信良,https://hdl.handle.net/11296/542yp4
增強型氮化鎵高電子遷移率電晶體特性分析之研究,113,博士,陳翊荷,https://hdl.handle.net/11296/m49arv
二階電腦合成全像波前補償元件應用於高精度非球面干涉量測之研究,113,碩士,姬祥猷,https://hdl.handle.net/11296/377j3x
在自駕場景中透過幾何導引將二維邊界框轉化為三維表示結構之研究,113,碩士,張哲源,https://hdl.handle.net/11296/6t4yx2
用嚴格耦合波分析來加速光柵耦合器的設計流程,113,碩士,陳沛聞,https://hdl.handle.net/11296/r673cr
風格化人物頭像生成,113,碩士,黃逸弘,https://hdl.handle.net/11296/25b694
開發EGFR奈米抗體融合蛋白運用於癌細胞標靶的可行性,113,碩士,彭柏誠,https://hdl.handle.net/11296/7ba8dg
考量訂單穩定度的晶圓代工廠主生產排程規劃,113,碩士,龔子涵,https://hdl.handle.net/11296/8c8v66
解讀政治迷的政治參與行為：以O-S-R-O-R模型探討政治擬社會關係的前因與效果,113,碩士,許馥嘉,https://hdl.handle.net/11296/y5s7e5
探討二氧化碳和氫氣在鈀-氫氧化鈣非均相觸媒結構上的反應，以了解二氧化碳氫化反應的動力學。,113,碩士,蔡仁翔,https://hdl.handle.net/11296/w6gqgs
無監督之重聚焦生成模型,113,碩士,王菱君,https://hdl.handle.net/11296/yjfj96
在5G網路中基於優先度之改善物聯網裝置突發性隨機接入的隨機存取通道方法,113,碩士,郭照駿,https://hdl.handle.net/11296/7c7r48
用於腦波深度學習模型解釋品質評估的對抗性資訊遮罩,113,碩士,解佳穎,https://hdl.handle.net/11296/394nq2
利用貝葉斯定理評估台灣工業區的洪水損失,113,碩士,田芫瑗,https://hdl.handle.net/11296/3nsce9
基於拓撲保持的二值影像下採樣,113,碩士,陳佳鉫,https://hdl.handle.net/11296/aajuns
鋁氮共摻雜硫化鋅和摻鋁氧化鋅異質接面於光電二極體應用之研究,113,碩士,林恩詮,https://hdl.handle.net/11296/24388k
新冠疫情前後東亞航空公司營運效率及影響因素探討,113,碩士,彭信瑋,https://hdl.handle.net/11296/8syzww
一個具備閉迴路動態放大器與電容陣列不匹配誤差整形85-dB無失真動態範圍免校準噪音整形逐漸逼近類比數位轉換器,113,碩士,吳語軒,https://hdl.handle.net/11296/repzfx
自適應標籤關聯的內容管理框架,113,碩士,徐尉庭,https://hdl.handle.net/11296/wv4zcg
脈衝式流動系統應用於氧化亞銅奈米線進行電催化二氧化碳還原促進乙醇的生成,113,碩士,陳奕伃,https://hdl.handle.net/11296/yzm86x
360度反射式相移器遠程偵測技術,113,碩士,黃鉦淵,https://hdl.handle.net/11296/7jk6xe
虛擬實境用於兒科困難氣道疾病教學應用之研究,113,碩士,許文菁,https://hdl.handle.net/11296/jww2yx
巨災債券條款的觸發機制分析,113,碩士,梁嘉程,https://hdl.handle.net/11296/728beu
利用銀奈米粒子進行表面修飾以優化氧化鎵鋅系列氣體感測器特性,113,碩士,沈宗穎,https://hdl.handle.net/11296/2mvff7
年輕障礙者居住於老年住宿機構之生命經驗與能動性,113,碩士,張芯瑜,https://hdl.handle.net/11296/c44y3u
利用邊界隨行開發高品質精蟲分選微流體裝置,113,碩士,彭筱芸,https://hdl.handle.net/11296/8dm4ej
針對室內光應用之寬能隙鈣鈦礦太陽能電池的缺陷工程,113,碩士,許家澤,https://hdl.handle.net/11296/zwsz5r
調控銅觸媒的局部結構以影響二氧化碳還原反應,113,碩士,林毅東,https://hdl.handle.net/11296/s6v4qd
利用奈米薄殼技術結合STING刺激劑與唐黴素， 於特定情境活化STING路徑增強抗癌先天與後天免疫反應,113,博士,楊凱傑,https://hdl.handle.net/11296/44q86e
我們真的能回到過去嗎？ 探討服務恢復與品牌忠誠度的關係：以調節中介模型,113,碩士,蘇靖雅,https://hdl.handle.net/11296/a3z3pu
汽機車鑰匙全自動化智慧製造之視覺檢測,113,碩士,趙偉勛,https://hdl.handle.net/11296/3x9b43
深度感測器應用於路面障礙物及坑洞偵測分析之研究,113,碩士,李凱閔,https://hdl.handle.net/11296/9bjjkr
損耗性商品受價格影響需求之存貨模式,113,碩士,莊書晴,https://hdl.handle.net/11296/mzb532
微波反應法合成魚腥草-深共熔溶劑萃取物包覆的銀奈米粒子：新一代抗菌劑的製備及其抗菌機制探討,113,碩士,張繼謙,https://hdl.handle.net/11296/2vmtzn
一鍋超臨界流體合成法製備鈀/石墨相氮化碳觸媒於降解土壤內多溴聯苯醚,113,碩士,郭承翰,https://hdl.handle.net/11296/dg77x7
新媒體互文性之探討—以五堅情為例,113,碩士,楊敦如,https://hdl.handle.net/11296/5t3f2g
探討內容和語言整合學習(CLIL)實施於生活領域之行動研究,113,碩士,江宜卉,https://hdl.handle.net/11296/ht7q23
利用16S rRNA測序與質譜技術表徵活性污泥中參與天然有機化合物降解的微生物群落,113,碩士,柯仲威,https://hdl.handle.net/11296/zmbezu
國際企業之跨文化衝突與管理： 以汶萊台商個案為例,113,碩士,陳蕙萍,https://hdl.handle.net/11296/9dkmzx
軍事人工智慧(MAI)發展對當代戰爭影響-  以俄烏戰爭為例,113,碩士,張俊清,https://hdl.handle.net/11296/7fkh59
建構以行為公式為基礎之「說服性簡報邏輯鷹架」教學模型,113,博士,鍾添旭,https://hdl.handle.net/11296/6h3672
運用UTAUT2模型評估元宇宙結合高等教育之應用與實踐,113,碩士,李奕學,https://hdl.handle.net/11296/3krmeu
心理意象在選擇廣告類型中的運用：探討不同廣告類型對於消費者心理與行為影響之實證研究,113,碩士,廖庭葦,https://hdl.handle.net/11296/67njs5
接受與承諾治療結合ChatGPT對脊髓損傷者之應用,113,碩士,陳臻,https://hdl.handle.net/11296/hx28hm
基於策略性操作增強圖像檢索系統之安全性以對抗後門攻擊,113,碩士,李泓磊,https://hdl.handle.net/11296/x836gr
噴嘴外形對超音波輔助噴水效應之探討,113,碩士,林敬諺,https://hdl.handle.net/11296/dvkj5g
鈷擴散阻障層對碲化鍺熱電模組性質與 界面穩定度影響之研究,113,博士,龔成浩,https://hdl.handle.net/11296/59z34u
運用多層次結構方程式模型探討轉換型領導、主動性人格、心理資本與工作敬業度之關係 —以台灣幼兒園為例,113,博士,高郡璘,https://hdl.handle.net/11296/a9xxx7
氯胺酮對仿生物膜與神經遞質釋放之影響,113,碩士,林意萱,https://hdl.handle.net/11296/7h6y5j
利用機械力學法合成中空酵素金屬有機骨架複合材料之研究,113,碩士,郭蕎菱,https://hdl.handle.net/11296/9z6s4n
利用核酸定序技術研究麩醯胺酸匱乏對大腸癌細胞外泌體RNA組成的影響,113,碩士,劉柏渝,https://hdl.handle.net/11296/j8r436
針對STT-MRAM記憶體內運算架構在電路老化和溫度變化的情況之下達成延長使用壽命的目標,113,碩士,林宜霆,https://hdl.handle.net/11296/5uq8uq
利用組織工程製作仿生腫瘤 並以MRI進行影像分析,113,碩士,蔡弘源,https://hdl.handle.net/11296/9p85ye
三種自製非甲烷總碳氫分析儀系統改良並應用於煙道及周界監測,113,碩士,孫振原,https://hdl.handle.net/11296/68xbmk
利用機械力化學法快速合成咪唑骨架材料及其酵素複合材料之探討,113,碩士,陳靖蕙,https://hdl.handle.net/11296/nfemj5
應用於能量儲存和能量轉換的高度多孔 金屬基板,113,博士,沃迪納,https://hdl.handle.net/11296/8sc472
熱脫附方法應用於揮發性有機污染物分析與氣相層析質譜儀離子源穩定性探討,113,碩士,呂翰卿,https://hdl.handle.net/11296/5x5d22
破壞雷射電漿尾場加速之衝擊波前沿注入電子束之對稱性以產生線偏振 X 光源,113,碩士,黃崧瑋,https://hdl.handle.net/11296/y9z7pt
一種簡易旋轉式LED曝光裝置的設計與實作,113,碩士,趙昱安,https://hdl.handle.net/11296/4g7dgq
,113,博士,艾蒂拉,https://hdl.handle.net/11296/j47qs2
美元升息對臺灣外匯存款影響之探討,113,碩士,楊晴惠,https://hdl.handle.net/11296/m65vc3
陰離子交換膜水電解電極觸媒塗佈之製程改善研究,113,碩士,施菀柔,https://hdl.handle.net/11296/m7g2y4
高溫型質子交換膜燃料電池堆性能測試與熱管理研究,113,碩士,王品元,https://hdl.handle.net/11296/b66259
探討玉米黑穗病中PR-1La依賴的阿魏酸訊息傳導路徑,113,碩士,張䎙之,https://hdl.handle.net/11296/z9xmfj
利用VirB2變異體研究T-線毛 影響農桿菌介導植物轉型能力之角色,113,碩士,許馨心,https://hdl.handle.net/11296/8dd8yd
以離散元素法分析顆粒振動床內顆粒體的流動行為：實驗驗證與內部物理量的探討,113,碩士,王昱荏,https://hdl.handle.net/11296/66wb7j
以離散元素法及計算流體力學雙向耦合模擬顆粒體在液體儲槽內的卸載流動行為,113,碩士,蕭佑衡,https://hdl.handle.net/11296/s8p6jj
多層結構鎵奈米粒子/聚合物複合材料之介電性質探討,113,碩士,王秉祥,https://hdl.handle.net/11296/d5fnc6
以離散元素法模擬斜坡顆粒流 撞擊障礙物 的震波現象,113,碩士,蘇浚弘,https://hdl.handle.net/11296/a75f97
具有多處斷面驟變之半無限長瑞利– 洛夫桿受衝擊桿加載下之應力波傳播,113,博士,Nguyen Ngoc Thang,https://hdl.handle.net/11296/qhz5s7
利用泛星深度巡天計畫探討Ia型超新星宿主星系性質,113,碩士,曾鑛傑,https://hdl.handle.net/11296/c66n4y
奢侈品牌廣告類別對廣告效果之影響： 以 Z 世代使用 Instagram 為例,113,碩士,詹子昕,https://hdl.handle.net/11296/9g3z83
利用聚對苯二甲酸乙二酯廢棄物製備多階層奈米孔洞金屬有機骨架應用於去除水中銅及鋅之研究,113,博士,阮氏紅,https://hdl.handle.net/11296/e6eqxg
利用高品質因子外腔自注鎖定的窄線寬雷射,113,碩士,廖振翔,https://hdl.handle.net/11296/2wvphr
年輕成年軍人頸動脈內膜厚度與相關因子:橫斷性研究,113,博士,林彥伯,https://hdl.handle.net/11296/u5uf9h
高靈敏度磁力計之研製,113,碩士,王澤綱,https://hdl.handle.net/11296/aqfrww
運用 CuCo2S4 修飾活性碳電極進行混合式電容去離子銅離子選擇性吸附之研究,113,碩士,李明哲,https://hdl.handle.net/11296/8e6jze
女性董事與經營績效及風險承擔之關聯-台灣金控公司之實證研究,113,碩士,林姿岐,https://hdl.handle.net/11296/n3j9em
保險需求之分析,113,碩士,曾冠銘,https://hdl.handle.net/11296/vqa7rf
台灣中小企業向後整合之企業價值評估個案研究,113,碩士,駱莉穎,https://hdl.handle.net/11296/87vhgp
整合雙向氮化鎵閘極二極體之650 V加強型氮化鎵電晶體,113,碩士,蔡碩宸,https://hdl.handle.net/11296/s76a46
應用PLS-SEM MXL模型分析TPASS通勤月票運具選擇行為 — 以桃園市端點為例,113,碩士,曾伊璉,https://hdl.handle.net/11296/j7zq8x
麩胺酸誘導阿拉伯芥的防禦反應與根毛伸長,113,碩士,洪以倢,https://hdl.handle.net/11296/e64g3n
探討肌肉激素與運動代謝物在肌肉骨骼系統中的作用,113,碩士,江宇翔,https://hdl.handle.net/11296/6r8xa4
MyoG 的活化在癌症惡病質中的分歧角色,113,碩士,林煌彬,https://hdl.handle.net/11296/59yne8
應用層級分析法(AHP)探討消費者選擇穿搭直播主之關鍵因子探討,113,碩士,陳儷心,https://hdl.handle.net/11296/m6bp9b
全大氣模型熱氣層中性大氣資料同化,113,博士,鄭景中,https://hdl.handle.net/11296/apmpjs
工業區廢水 COD 細分類及氧化效能評估研究,113,碩士,楊佩慈,https://hdl.handle.net/11296/2g4r87
上流式硫擔體固定床反應槽去除水中硝酸鹽之研究,113,碩士,廖書瑜,https://hdl.handle.net/11296/ean6yu
彈性基板嵌入金屬奈米粒子之光-物質耦合性質之探討,113,碩士,詹格豪,https://hdl.handle.net/11296/nqrj6e
顯示器輝度量測與校正方法之研究,113,碩士,陳采怡,https://hdl.handle.net/11296/daahy2
深共熔溶劑L-精氨酸鹽酸鹽/甘油之二氧化碳溶解度量測,113,碩士,江瑞恆,https://hdl.handle.net/11296/duk9hd
全像光學透鏡之色散像差分析,113,碩士,謝茂杉,https://hdl.handle.net/11296/xeacpj
開發一具備簡易製程之壓電水凝膠應用於自供電感測,113,碩士,許博恩,https://hdl.handle.net/11296/b7sbwd
全通路消費者體驗下品牌體驗、品牌形象與購買意願之間的關係——以時裝奢侈品牌為例,113,碩士,賴彥綾,https://hdl.handle.net/11296/e672ka
同化向日葵同步衛星資料於短延時降雨個案之效益評估,113,碩士,黃子珊,https://hdl.handle.net/11296/rys9a4
真實情境透過人工智慧 即時影片辨識增強英語口說與寫作,113,碩士,吳普托,https://hdl.handle.net/11296/arb3qj
建置情境化與個人化短影片學習系統並探討其對EFL 口說與寫作之影響,113,碩士,陳韡佳,https://hdl.handle.net/11296/4d8y7k
伏安法測定雙物種系統之需氧量,113,碩士,蕭博謙,https://hdl.handle.net/11296/n2gg4k
應用於FR3頻段互補式金氧半導體堆疊式功率放大器暨使用開關鍵控調變器之發射機與連續F類氮化鎵功率放大器研製,113,碩士,蔡舜羽,https://hdl.handle.net/11296/7tyn82
以二氧化鈦/單壁奈米碳管/網版印刷電極進行不同水樣之BOD和COD分析,113,碩士,張喬愷,https://hdl.handle.net/11296/4dt3gb
具自適應且多階資料獨立相位追蹤補償技術之 5 Gbps 半速率時脈與資料回復電路,113,碩士,蘇姿羽,https://hdl.handle.net/11296/279jr2
一磷化鐵@石墨烯作為鈉離子電池負極材料的第一原理研究,113,碩士,洪奇敬,https://hdl.handle.net/11296/w25356
公路鋪面養護路網維護管理之研究- 以台二線北海岸公路為例,113,博士,黃麗玲,https://hdl.handle.net/11296/9acgxt
,113,博士,黃馨瑩,https://hdl.handle.net/11296/zbvv4t
低溫電子束蒸鍍沉積金屬對二硫化鉬蕭特基二極體之性能影響,113,碩士,盧心屏,https://hdl.handle.net/11296/vxw7zh
線切割矽晶錠之溫度分布及熱膨脹分析之數值模擬,113,碩士,張紘溢,https://hdl.handle.net/11296/h39daa
柴氏法生長大尺寸氧化鎵單晶過程之數值模擬分析,113,碩士,汪玟利,https://hdl.handle.net/11296/d6hms8
加氨改善甲烷固態氧化物燃料電池之碳沉積問題,113,碩士,賴思樺,https://hdl.handle.net/11296/yf9m8u
自來水管線風險評估及管理 -以臺北自來水事業處供水分區為例,113,博士,許家成,https://hdl.handle.net/11296/72j5cs
AI自駕車侵權責任法制之研究 —以SAE分級之Level 3至Level 5為中心,113,碩士,蔡宸語,https://hdl.handle.net/11296/9a82j3
應用田口分析法於超音波振動輔助磨削鋁 碳化矽製程之研究,113,碩士,劉驊,https://hdl.handle.net/11296/2p92b4
應用誤差分析與參數擬合提升數位雙生模型逼真度之方法,113,碩士,許家浩,https://hdl.handle.net/11296/2b53ws
基於深度學習的樂器演奏動作識別,113,博士,赫巴特,https://hdl.handle.net/11296/86vnk3
,113,碩士,泰利,https://hdl.handle.net/11296/3d9sh3
適用於多步幅卷積神經網路之比特級稀疏性感知壓縮情境及加速器架構設計,113,碩士,黃筠茵,https://hdl.handle.net/11296/3u5g3p
L型LiNbO3偏振旋轉器波導研究,113,碩士,呂冠佑,https://hdl.handle.net/11296/t32hv5
發動前行：戰後臺灣自用小客車供應鏈建構之研究（1953–2002）,113,碩士,林文婷,https://hdl.handle.net/11296/tbm5h6
應用於X頻段互補式金氧半導體F類壓控振器與使用動態體偏壓技術B/C類混合式壓控振盪器暨整數型鎖相迴路之研製,113,碩士,邱恩芸,https://hdl.handle.net/11296/nsv835
運用地磁響應測深探討臺灣深部電性構造,113,博士,林鼎竣,https://hdl.handle.net/11296/j4x3bb
Typhoon Behavior and Its Regional Impacts in the Western North Pacific,113,博士,黎長灣,https://hdl.handle.net/11296/u5v4at
基於平面參考波的子孔徑拼接干涉術於球面檢測的應用,113,碩士,徐浚宸,https://hdl.handle.net/11296/urt662
高熱穩定性、長效耐久性 (>1011次 )且具瞬時讀取之多功能閘極 (TiN/Mo/TiOxNy/SL-HZO)層狀堆疊鐵電記憶體技術開發,113,碩士,陳政凱,https://hdl.handle.net/11296/bkz7j2
中文歷史地圖字符偵測與地名文字群集技術：以1930 年代中國地形圖為例,113,碩士,陳浩瑋,https://hdl.handle.net/11296/na46se
架設用於光電子能譜術之非共線性光參數 放大器,113,碩士,柏貝司,https://hdl.handle.net/11296/dc564m
,113,碩士,黃文城,https://hdl.handle.net/11296/jt534j
結合自我調節及共同調節學習分析儀表板於Python程式教育之研究,113,碩士,柯炘德,https://hdl.handle.net/11296/e527d4
以軟體定義無線電平台設計與實現可變訊框架構之LTE MIMO發射機,113,碩士,許振耀,https://hdl.handle.net/11296/gxk5vx
應用於C/X頻帶之低功耗寬頻接收機前端電路之研製,113,碩士,賴薈之,https://hdl.handle.net/11296/7z4vew
層狀奈米材料之介面開發應用於奈米發電機設計,113,碩士,蔡智鈞,https://hdl.handle.net/11296/wdpbk3
以類神經網路法設計光學邏輯閘,113,碩士,呂岳衡,https://hdl.handle.net/11296/d57crr
基於實務廣播星曆資料建置GPS訊號即時通道效應,113,碩士,何宗昱,https://hdl.handle.net/11296/zn5ytz
以徑向風聯立方程的直接解改善多都卜勒雷達風場合成技術反演垂直速度之可行性評估,113,碩士,吳佳靜,https://hdl.handle.net/11296/55dab5
光學薄膜折射率與帶通濾光片薄膜厚度之研究,113,碩士,鍾瀞儀,https://hdl.handle.net/11296/ad9n49
高功率氮化鎵高電子遷移率電晶體崩潰特性優化研究,113,碩士,呂彥鋒,https://hdl.handle.net/11296/32rhkq
金屬電極-二維半導體介面改質於提升雙層二硫化鉬電晶體的電傳輸特性之研究,113,碩士,廖人逵,https://hdl.handle.net/11296/yh5wgb
真空轉印二維材料的製程研究及其元件之應用,113,碩士,陳柏豪,https://hdl.handle.net/11296/n8zh88
應用0.25 μm GaN/SiC HEMT於連續B類 X頻段功率放大器與K頻段 WIPD 覆晶功率放大器暨90奈米 CMOS FR3 寬頻發射器之研製,113,碩士,陳柏豪,https://hdl.handle.net/11296/nd6qsx
低溫成長條件下利用金屬有機化學氣相沉積法於氧化矽基板上合成高品質二硫化鉬,113,碩士,陳廷睿,https://hdl.handle.net/11296/9c7c43
對流尺度資料同化系統中地面觀測同化的變分偏差修正,113,碩士,林怡萱,https://hdl.handle.net/11296/4e5wv5
整合視覺、力量感測與模糊控制技術之新穎機械手臂組裝系統,113,碩士,李家銘,https://hdl.handle.net/11296/zjk33v
公共污水處理廠污泥脫水濾液流體化床結晶產物特性之研究,113,碩士,秦維潔,https://hdl.handle.net/11296/m7jd3j
微型大氣探空開發及T-POMDA空污實驗應用,113,碩士,潘巧玲,https://hdl.handle.net/11296/n7jnns
軸向發電機之改良與設計,113,碩士,林顥倫,https://hdl.handle.net/11296/4xswcu
董事會結構對企業是否選擇監督CSR單位之影響,113,碩士,林冠汝,https://hdl.handle.net/11296/xhfxvn
基於氮化鍺碲碳非砷化物選擇器的高熱穩定性、低電壓變異性及高循環耐久性  (>10¹¹) 的物理分析,113,碩士,吳湧峰,https://hdl.handle.net/11296/smvkdn
實現全後段製程相容性、基於IGZO雙電晶體及鐵電電容器之非揮發性記憶體,113,碩士,蔡堉秭,https://hdl.handle.net/11296/8gawdp
開發與評估大型語言模型驅動之臺灣電影產業問答系統：應對專業領域知識散佈之挑戰,113,碩士,郭恩淳,https://hdl.handle.net/11296/zm2zp3
在週期性晶疇極化反轉絕緣體上鈮酸鋰薄膜實現電光偏振轉換器之研究,113,碩士,黃柏翔,https://hdl.handle.net/11296/7vtsuv
運用超解析技術提升衛星影像物件偵測準確率,113,碩士,張庭韶,https://hdl.handle.net/11296/mk8yer
可實現2.3V大記憶視窗（每單元3位元）、可立即讀取並具有10⁹次寫入之鐵電電晶體及其在機器學習之高精確度研究,113,碩士,白家碩,https://hdl.handle.net/11296/qjspq5
斗六地區高PM2.5事件期間之 天氣特徵與大氣垂直結構,113,碩士,黃文琪,https://hdl.handle.net/11296/nn69qv
伽馬過程之貝氏加速衰變試驗模型與序列分析,113,碩士,陳稚蕙,https://hdl.handle.net/11296/z489tp
利用混響室進行單天線效率與輻射發射量量測實驗:與模擬軟體及不同電磁環境比較,113,碩士,李彥霆,https://hdl.handle.net/11296/d79p9w
磁電式骨整合穩固度評估系統之探頭配件設計及功能驗證,113,碩士,蔡昆燁,https://hdl.handle.net/11296/gf959b
應用錳改質牡蠣殼對污染土壤中鎘及鉛移動性與植物累積之影響評估,113,碩士,林家羽,https://hdl.handle.net/11296/56g56f
以微波技術提升電爐石中鈣離子萃取及二氧化碳碳酸化之可行性研究,113,碩士,陳亮諭,https://hdl.handle.net/11296/dq975e
以反應式濺鍍前驅物應用於兩階段式成長二硫化鉬薄膜,113,碩士,吳秉諭,https://hdl.handle.net/11296/tby988
,113,碩士,洪季絜,https://hdl.handle.net/11296/bs5vqz
透過氫電漿處理提升 FeFET 之耐久性、儲 存密度與讀取速度並改善 FeCAM 設計中的 穩定性與漢明距離,113,碩士,黃子容,https://hdl.handle.net/11296/cd8qh4
微型化雙頻平衡式微波被動電路設計,113,碩士,張威銍,https://hdl.handle.net/11296/5rrxcn
使用生成式人工智慧設計錯誤分析活動以提升學生真實數學問題解決能力與自信心,113,博士,林裕峯,https://hdl.handle.net/11296/pzd9uh
,113,碩士,翁梓育,https://hdl.handle.net/11296/7vdqzj
使用衛星資料推估東亞地區排放量並探討境外污染傳 輸對臺灣影響,113,碩士,呂峻宇,https://hdl.handle.net/11296/d8sedz
打造正向價值循環：非營利組織之社交媒體溝通策略對受眾公民行為的影響,113,碩士,周珉瑄,https://hdl.handle.net/11296/57294v
我國地方政府推動客語復振政策績效觀感之研究：以桃園市政府推廣客語研習實施計畫為例,113,碩士,陳起華,https://hdl.handle.net/11296/5fu38f
探討情緒勞動與團隊韌性對於軟體開發敏捷性的影響:  團隊領導者的情緒智商之調節作用,113,碩士,彭冠慈,https://hdl.handle.net/11296/tc4k8c
一種應用於特定電梯鋼索固定器實驗及模擬之研究,113,碩士,陳映升,https://hdl.handle.net/11296/prrjf9
基於行動裝置的急性中風預後分析方法研究,113,博士,何心如,https://hdl.handle.net/11296/qsfzsh
以ALOHA及GIS軟體探討氟化氫槽車公路運輸事故風險評估(以國道一號桃園段為例),113,碩士,陳少宇,https://hdl.handle.net/11296/29p2dz
臺灣熱浪的特徵分析,113,碩士,尤嬿臻,https://hdl.handle.net/11296/6pgqyd
「蔡孝乾事件」之研究（1946-1952）,113,碩士,陳奕帆,https://hdl.handle.net/11296/vrb37b
基於多類型監督學習並使用新型運動向量場之分割路徑預測模型應用於 VVC 畫面間快速編碼,113,碩士,張倍銘,https://hdl.handle.net/11296/3ttj53
可調式兩階段VVC畫面內預測編碼,113,碩士,黃性鈞,https://hdl.handle.net/11296/8574m2
一種以 CNN 為基礎之後處理器應用於 FCM 性能提升之研究,113,碩士,陳柏聿,https://hdl.handle.net/11296/r2ekud
,113,碩士,陳彥廷,https://hdl.handle.net/11296/5we389
漸進式特徵融合模型應用於 VVC 畫面間編碼之快速演算法,113,碩士,謝尚融,https://hdl.handle.net/11296/2hh473
